CGPA,Package
2.75,6.96
3.9,9.08
3.46,8.84
3.2,8.31
2.31,6.05
2.31,6.32
2.12,5.72
3.73,9.55
3.2,7.96
3.42,7.72
2.04,5.31
3.94,9.95
3.66,9.29
2.42,5.41
2.36,5.36
2.37,6.45
2.61,6.51
3.05,7.97
2.86,7.16
2.58,6.46
3.22,8.52
2.28,5.44
2.58,6.5
2.73,6.59
2.91,7.06
3.57,8.77
2.4,6.11
3.03,7.34
3.18,8.58
2.09,4.78
3.22,7.96
2.34,5.63
2.13,6.05
3.9,9.85
3.93,10.34
3.62,8.31
2.61,6.66
2.2,5.94
3.37,8.47
2.88,7.73
2.24,5.34
2.99,8.18
2.07,6.32
3.82,9.37
2.52,6.08
3.33,9.05
2.62,7.34
3.04,7.34
3.09,7.51
2.37,5.78
3.94,9.18
3.55,8.42
3.88,9.2
3.79,9.09
3.2,7.98
3.84,9.72
2.18,6.23
2.39,5.48
2.09,5.72
2.65,6.52
2.78,6.93
2.54,6.69
3.66,8.59
2.71,6.97
2.56,6.48
3.09,7.97
2.28,5.84
3.6,10.23
2.15,5.06
3.97,9.66
3.54,8.54
2.4,5.72
2.01,4.71
3.63,9.67
3.41,9.24
3.46,8.36
3.54,8.43
2.15,5.61
2.72,6.52
2.23,5.89
3.73,9.43
3.25,7.37
2.66,7.42
2.13,6.22
2.62,6.24
2.65,6.43
3.46,8.79
3.28,8.37
3.77,9.75
2.94,8.36
2.24,5.51
3.43,8.18
3.52,8.11
3.12,7.43
3.54,8.83
2.99,8.37
3.05,7.37
2.86,7.26
2.05,5.12
2.22,6.14
2.06,6.41
3.27,7.91
2.63,6.33
3.02,8.07
3.82,9.89
2.5,7.17
2.82,7.34
3.51,8.6
2.46,6.45
2.15,5.93
2.58,6.86
2.32,6.05
3.86,10.18
3.62,9.63
3.27,8.87
3.74,9.67
3.61,8.94
2.37,6.0
3.79,10.08
3.08,7.29
3.61,9.21
3.79,9.28
2.64,6.61
2.22,6.19
2.46,6.25
2.85,7.15
3.64,8.42
3.72,9.67
2.01,5.35
3.02,8.63
2.83,6.92
2.44,6.21
2.24,5.72
2.68,7.49
3.89,9.68
2.65,6.76
3.04,7.9
3.41,8.62
2.73,6.6
3.94,9.95
3.92,10.34
2.5,5.74
2.99,7.54
2.6,6.15
2.57,7.02
2.07,4.41
3.22,7.77
3.01,7.71
2.1,6.03
2.56,6.37
3.82,9.27
2.48,7.14
2.29,5.0
2.98,6.35
3.97,10.15
2.48,5.95
3.34,7.84
3.52,9.15
2.48,6.32
3.46,8.37
2.74,6.21
3.26,8.59
3.27,8.5
3.07,7.63
2.18,6.37
3.67,8.64
2.64,5.84
2.37,5.58
2.08,5.18
3.18,8.07
3.36,8.28
2.03,5.25
3.02,6.92
2.45,6.85
3.29,8.18
2.35,6.43
3.38,8.62
2.77,7.15
3.87,9.96
2.28,5.92
2.68,7.02
2.23,6.24
3.85,9.72
3.75,9.73
2.52,6.26
3.32,9.02
3.63,8.74
3.11,8.68
3.06,7.63
2.48,5.48
2.19,5.54
3.79,9.13
3.8,9.92
3.27,7.85
2.68,6.48
2.7,5.81
3.45,8.4
3.79,8.26
3.77,8.63
3.56,9.28
3.28,8.59
2.17,5.64
2.32,5.32
3.8,9.48
3.21,8.02
2.02,4.47
2.2,6.25
3.33,8.76
2.01,4.91
2.32,5.81
3.1,7.85
3.38,7.43
3.3,8.13
2.45,5.78
3.42,8.05
2.47,6.03
2.65,7.52
3.49,9.05
3.3,7.96
3.7,9.54
3.32,9.0
3.14,8.31
2.19,5.5
2.74,6.53
2.53,6.67
2.49,6.42
3.95,10.32
2.79,7.29
3.78,9.97
3.26,7.88
3.59,9.63
3.01,7.62
3.15,8.91
2.99,7.13
2.39,6.84
3.44,8.7
2.56,6.07
2.05,4.88
3.29,8.06
2.35,6.09
3.88,9.96
3.91,9.49
3.83,9.56
2.74,7.92
2.03,5.94
3.86,9.87
2.86,7.17
3.93,9.89
3.93,10.13
3.71,8.76
2.59,6.35
2.77,6.09
3.7,9.45
2.63,6.9
2.34,5.61
3.11,8.56
3.87,9.06
3.39,7.74
3.14,7.96
2.19,6.0
3.23,8.92
3.98,9.72
2.28,6.24
3.04,7.58
3.75,9.29
3.48,9.14
3.39,8.8
3.4,7.71
2.72,7.54
2.59,7.17
3.62,8.74
3.62,9.25
3.73,9.57
3.83,9.71
3.02,7.27
3.0,7.16
3.6,8.99
3.3,8.84
3.4,8.77
3.59,8.79
3.78,9.84
2.68,5.28
2.75,7.45
2.19,4.61
3.16,7.72
2.07,4.62
2.93,6.68
3.09,8.31
2.57,6.19
3.18,8.12
2.06,5.13
2.07,5.41
3.65,9.16
2.72,6.16
2.25,6.12
3.04,7.35
3.54,8.07
2.43,5.86
3.25,8.88
2.17,5.85
2.1,5.08
3.06,7.48
3.08,7.54
3.27,9.21
3.45,8.82
3.95,10.09
3.03,8.09
2.65,6.74
3.59,8.85
2.54,6.25
2.88,7.16
2.16,5.38
2.05,5.49
3.93,9.85
3.67,9.54
3.39,8.43
2.82,7.09
2.35,4.88
2.31,6.23
2.5,6.42
3.1,8.25
3.43,7.13
3.32,9.34
2.56,6.33
3.91,10.33
3.48,8.18
3.11,8.08
3.22,7.52
2.84,6.79
2.5,7.21
2.71,6.68
3.52,8.91
2.03,5.51
2.23,5.82
2.09,5.3
2.08,5.38
3.71,10.48
3.41,8.5
2.95,7.48
2.2,6.03
2.98,8.0
2.95,7.97
2.35,6.19
2.87,6.6
2.8,7.82
3.23,7.5
3.27,8.33
2.09,4.85
2.75,6.84
3.25,8.29
3.01,7.69
3.71,9.49
3.32,9.11
2.33,6.05
2.14,5.23
3.28,8.68
2.05,5.72
3.17,7.31
3.88,10.0
3.15,8.23
2.78,6.8
3.29,8.91
2.92,7.22
3.09,7.79
3.88,9.61
2.77,6.93
3.92,9.25
3.81,8.8
2.39,6.77
2.14,4.93
2.2,5.0
2.04,4.02
2.19,5.16
3.37,7.76
2.14,6.17
2.64,7.1
3.69,8.88
2.05,6.25
3.63,9.57
2.56,6.24
2.24,4.35
3.39,9.62
3.26,7.46
3.75,8.55
3.47,9.19
3.61,10.24
2.56,7.09
2.35,6.16
3.5,9.05
3.61,9.45
3.98,10.33
2.83,7.22
2.74,6.9
3.55,8.84
2.68,6.32
3.86,9.51
3.72,8.45
2.86,7.1
3.5,8.26
3.51,8.22
2.21,5.61
3.81,10.22
3.01,7.98
3.65,8.34
2.64,6.11
3.79,9.95
2.78,6.46
2.02,4.94
3.81,9.8
2.18,4.97
2.64,6.65
3.9,9.08
3.9,9.45
3.15,8.03
3.26,7.35
2.9,7.47
2.59,6.47
2.66,6.93
3.35,8.49
3.5,9.43
3.58,9.01
3.58,8.74
2.18,5.51
2.99,7.75
2.12,5.32
3.1,7.77
2.88,6.85
3.78,9.12
2.7,6.05
2.23,6.45
2.29,5.1
3.52,8.45
3.24,7.74
2.2,5.95
2.17,5.28
3.4,9.12
2.15,5.04
3.64,9.24
3.41,8.11
2.16,6.47
2.17,4.83
3.97,10.08
2.75,7.19
2.74,7.06
3.63,8.98
3.89,9.66
3.97,9.95
3.51,8.7
2.75,7.36
2.17,6.53
3.55,8.6
3.12,7.12
2.85,7.08
3.81,10.81
2.22,5.15
2.99,8.29
2.02,5.89
2.94,7.07
2.11,5.56
2.24,6.41
2.24,5.41
3.3,8.15
3.49,8.43
3.17,7.42
3.92,9.48
2.75,6.26
2.57,6.44
3.74,8.97
2.45,6.24
3.93,9.05
2.02,5.22
3.94,10.27
2.09,4.23
3.78,9.64
3.06,8.26
3.99,9.37
2.15,6.21
3.11,7.98
3.94,9.5
3.05,7.6
3.26,8.43
3.39,8.51
2.91,7.54
3.26,7.69
3.17,8.01
3.8,8.79
2.09,5.17
2.56,5.95
3.9,9.38
3.78,10.07
2.91,7.82
3.24,8.4
2.55,5.83
2.38,5.79
2.93,7.93
2.71,6.85
3.17,9.08
2.16,5.6
3.95,9.97
3.97,9.77
3.4,8.57
3.07,7.6
2.62,6.9
3.63,9.55
3.37,8.03
2.33,5.16
3.82,8.63
3.65,9.38
3.9,9.2
3.45,7.55
3.23,8.27
2.84,8.35
3.87,9.67
3.73,9.74
2.09,5.27
2.05,5.08
2.75,7.33
3.62,8.9
3.97,10.06
2.3,5.91
3.19,7.64
2.76,7.4
3.94,9.76
3.68,8.82
3.68,9.47
2.94,6.9
2.83,7.09
2.55,6.37
2.11,5.82
3.73,9.56
3.63,9.06
4.0,10.41
3.99,10.67
3.11,8.05
3.54,8.86
3.89,9.07
3.7,8.72
2.49,6.07
2.9,6.95
2.26,5.56
3.91,9.8
3.21,8.29
2.46,6.11
3.34,8.59
3.24,8.13
2.72,5.81
2.23,5.11
3.34,8.28
3.04,7.0
3.54,9.15
3.04,8.37
3.7,9.86
3.1,7.64
3.12,8.55
3.75,9.45
2.81,6.86
2.27,5.37
2.06,5.0
3.51,8.58
3.24,8.19
3.41,8.61
2.43,6.08
2.27,5.89
2.03,5.67
2.7,7.22
3.18,7.21
2.78,5.67
2.87,7.64
3.81,8.84
2.7,6.64
3.03,6.99
3.57,8.02
2.79,7.25
3.24,8.48
3.72,9.01
3.9,8.45
2.29,5.45
3.85,9.82
2.98,6.71
2.52,6.39
2.92,7.29
3.96,10.19
2.99,7.53
2.66,6.16
3.27,8.77
2.48,6.12
2.15,5.36
2.26,5.18
2.26,5.43
2.3,5.31
2.28,5.61
3.28,9.06
2.36,5.21
2.69,5.92
3.79,10.21
2.95,7.27
3.34,8.02
2.34,6.37
2.38,5.65
2.08,6.11
2.34,6.19
2.56,6.16
2.35,6.95
2.18,5.15
2.24,5.97
2.92,7.45
2.41,6.68
2.73,7.61
3.01,7.54
3.38,8.07
2.08,5.43
3.6,8.66
3.26,9.16
2.16,5.47
3.75,9.19
3.84,9.69
2.12,4.63
2.55,5.89
3.61,9.63
3.5,8.42
2.37,5.4
2.42,6.32
2.74,7.44
2.97,7.78
3.24,8.6
2.74,6.47
2.93,6.61
3.49,9.48
2.07,5.01
2.5,6.12
3.43,9.24
3.79,9.75
3.02,7.78
3.06,8.73
2.21,5.2
2.89,7.69
3.07,7.7
2.48,6.33
2.54,7.11
2.75,7.13
2.04,5.37
2.64,7.14
2.42,5.87
2.65,6.21
2.24,5.08
3.78,8.47
3.19,9.0
3.36,7.85
3.58,8.84
3.0,7.36
2.17,5.58
3.07,8.08
3.17,8.36
3.49,8.43
2.86,7.07
2.26,5.79
2.57,6.3
2.73,7.63
3.29,8.47
3.14,8.22
2.71,7.11
3.97,10.51
3.21,8.12
2.47,5.53
2.2,5.7
2.31,5.45
2.49,5.96
2.32,6.09
2.37,6.54
2.57,6.44
2.35,6.03
3.79,10.33
2.16,5.52
3.05,8.93
2.82,7.33
3.96,9.02
2.22,5.93
2.8,7.19
3.94,10.49
3.73,9.66
3.63,9.01
2.52,5.69
2.34,5.75
3.34,7.92
3.86,9.36
3.11,8.07
3.14,8.68
2.56,6.6
3.54,8.25
2.37,6.15
2.65,7.22
2.85,6.82
3.02,7.48
2.48,6.21
2.23,5.18
3.22,8.37
2.58,6.39
3.16,8.11
2.31,5.33
2.96,7.18
3.07,8.04
2.1,5.06
2.67,7.54
2.27,5.48
2.13,5.44
3.98,10.42
2.64,5.89
3.62,8.17
2.51,5.51
3.36,9.03
3.52,8.52
3.19,9.25
2.94,7.07
2.82,7.14
2.7,7.52
3.86,10.65
3.66,10.18
3.93,10.43
2.25,6.14
3.46,8.95
3.88,10.09
2.36,5.62
2.13,4.92
3.48,8.7
3.15,7.79
3.68,8.97
2.28,6.05
3.59,9.45
2.4,6.04
2.33,6.56
2.33,5.25
