Age,EstimatedSalary,Purchased
58,44184,1
19,87097,0
33,73513,0
26,41868,0
52,37790,1
55,125604,1
20,22811,0
23,72314,0
32,147475,1
56,21956,1
53,67124,1
59,124974,1
32,132757,1
55,87926,1
18,56853,0
45,104194,1
35,55758,0
31,103236,1
24,39312,0
42,40353,1
40,105165,1
56,84342,1
20,135435,1
52,47722,1
42,35656,1
53,91854,1
58,109800,1
54,65407,1
22,27012,0
60,74742,1
36,35916,0
32,41476,0
42,87869,1
47,110638,1
28,112040,1
40,69921,0
60,84986,1
59,33717,1
56,59862,1
52,79175,1
28,136178,1
42,85765,1
58,72570,1
38,29663,0
32,23414,0
38,120162,1
35,32350,0
31,97490,1
31,145870,1
43,135285,1
27,84436,0
26,79651,0
53,83876,1
55,127311,1
55,119700,1
41,72493,1
26,148569,1
49,38831,1
21,43743,0
27,56938,0
45,31653,1
42,115039,1
56,137696,1
51,80906,1
53,18009,1
25,84946,0
59,104174,1
25,91939,1
45,56460,1
47,15850,1
34,146225,1
29,148085,1
24,93235,1
58,148080,1
56,67143,1
27,113019,1
28,15149,0
56,99975,1
49,20105,1
25,110153,1
37,77770,0
21,78143,0
54,35645,1
23,142399,1
22,47967,0
26,139592,1
53,58287,1
34,125923,1
31,67730,0
37,119593,1
60,112889,1
46,133354,1
25,79986,0
32,31784,0
39,20514,0
55,75323,1
55,72728,1
18,33610,0
58,30433,1
32,32668,0
