Age,Experience,EducationLevel,Salary
24,2,2,52886
50,0,4,83518
56,18,4,160732
60,5,2,85177
39,4,3,103664
41,17,3,141813
44,12,1,102974
55,14,1,104500
54,19,1,133392
31,5,1,58012
54,4,2,89332
54,18,2,150564
47,8,2,104386
41,19,4,171117
36,10,2,111676
58,6,1,84875
54,18,2,140722
38,8,2,78939
26,0,2,47093
25,1,2,76367
24,0,2,57709
42,7,2,80172
24,1,4,84742
42,1,2,70553
29,7,2,96908
57,6,3,102032
50,0,3,87477
60,8,3,109389
55,11,3,124023
43,11,2,93713
52,16,3,134807
49,16,2,119229
56,10,4,124131
55,18,4,163743
34,5,1,57633
25,0,2,54225
27,1,4,91860
22,0,2,51510
33,8,4,123935
56,20,1,144297
32,10,2,103311
44,19,2,142685
35,11,1,103642
40,6,2,79680
58,17,4,168888
37,14,2,108483
49,5,4,100868
52,16,1,130663
28,0,3,50960
48,4,2,71558
38,14,1,109283
28,3,4,94600
36,2,2,64405
33,2,4,79886
29,2,3,77641
23,0,1,43634
59,15,3,142760
47,7,3,100419
42,5,4,105742
34,4,3,84921
40,14,3,131408
39,15,1,125115
23,1,1,54549
49,20,1,137237
44,16,2,130877
25,2,2,50446
25,0,2,58418
33,7,2,94008
43,20,3,154432
47,13,1,103988
56,7,3,103817
25,1,4,79584
33,1,3,60752
25,2,1,47525
52,2,3,75968
28,1,3,72777
31,3,2,59921
45,1,3,66264
36,2,4,94462
60,20,1,141351
41,14,2,111566
28,2,2,74450
34,8,2,88147
49,8,1,85811
60,3,3,79499
39,10,4,122195
32,7,2,88905
57,9,4,139190
57,9,1,86522
23,0,1,32397
38,3,2,90509
27,1,2,70363
44,16,2,137187
37,8,2,97909
47,10,4,128767
22,0,1,48793
57,14,2,131340
51,11,3,114074
23,0,1,41883
41,6,2,72208
26,4,3,101555
52,2,2,80068
29,5,4,98056
51,20,2,161218
60,13,1,107194
23,0,2,65608
34,7,3,87826
25,0,3,58611
29,4,3,86845
60,5,1,72337
46,10,2,98245
28,2,3,70584
35,3,1,66463
50,17,2,139528
42,1,4,88196
58,4,1,60952
54,2,2,85443
46,2,1,63627
35,4,4,95557
30,4,1,58475
36,9,1,89469
28,2,1,51696
23,1,2,42060
52,4,4,100022
28,3,1,56284
32,6,4,103747
34,5,4,112977
34,6,1,61320
47,14,4,148040
29,1,4,100287
35,5,4,107436
23,1,2,61238
36,12,2,102733
45,2,1,70223
55,4,3,83975
25,3,1,51266
39,5,1,77339
46,3,2,74422
45,13,2,103070
27,4,2,64525
55,7,2,77519
59,1,1,69335
24,1,2,54028
40,7,2,90243
57,10,2,115232
40,16,2,128562
49,18,2,124451
31,5,2,68146
39,9,3,110890
