cgpa,score,placement
5.8,6.2,0
6.1,6.5,0
5.9,7.1,0
6.2,5.8,0
5.7,6.7,0
6.0,7.0,0
6.4,6.3,0
5.5,5.9,0
6.3,7.2,0
5.8,6.8,0
6.5,7.0,0
6.2,6.4,0
5.9,5.7,0
6.1,7.3,0
5.6,6.5,0
6.4,5.8,0
6.0,6.1,0
5.7,7.4,0
6.3,6.9,0
5.8,5.6,0
6.1,6.8,0
6.4,7.1,0
5.9,6.4,0
6.2,5.9,0
6.0,7.2,0
5.7,6.1,0
6.5,6.7,0
6.3,5.8,0
5.8,7.0,0
6.1,6.3,0
6.6,6.5,0
6.7,6.8,0
6.8,7.1,0
6.9,7.3,0
6.6,7.0,0
6.7,6.2,0
6.8,6.6,0
6.9,7.0,0
6.7,7.5,0
6.6,6.9,0
7.2,7.4,1
7.5,7.8,1
7.8,8.0,1
8.0,8.3,1
7.4,7.6,1
7.7,8.1,1
8.2,8.5,1
7.3,7.9,1
8.1,7.8,1
7.6,8.2,1
8.4,8.6,1
7.5,7.5,1
8.0,7.9,1
7.8,8.4,1
8.3,8.1,1
7.2,8.0,1
8.1,8.8,1
7.7,7.7,1
8.5,8.3,1
7.4,8.2,1
8.2,7.6,1
7.9,8.5,1
8.6,8.0,1
7.3,7.3,1
8.4,8.8,1
7.8,7.9,1
8.0,8.1,1
7.6,8.7,1
8.3,8.4,1
7.5,8.0,1
