Level,Salary
8.12,117005
19.06,478732
14.91,324667
12.37,238849
3.96,52167
3.96,59976
2.1,38078
17.46,431242
12.42,230143
14.45,276899
1.39,27244
19.43,519636
16.82,400465
5.03,38850
4.45,33734
4.48,66144
6.78,86530
10.97,197067
9.21,140164
6.53,83001
12.63,251912
3.65,32376
6.55,84313
7.96,104019
9.67,144748
15.92,354231
4.79,57893
10.77,173948
12.26,244724
1.88,10540
12.54,232358
4.24,40577
2.24,48294
19.03,500036
19.35,528013
16.36,354777
6.79,91262
2.86,45270
14.0,286450
9.36,159586
3.32,28754
10.41,192162
1.65,56897
18.28,456112
5.92,65120
13.59,292329
6.92,113505
10.88,176443
11.39,192776
4.51,46486
19.42,496050
15.73,337365
18.85,473473
18.0,437362
12.36,228706
18.52,476196
2.68,53589
4.72,38610
1.86,38562
7.18,91628
8.38,119587
6.16,85982
16.75,376539
7.78,112785
6.34,81542
11.31,204197
3.68,44761
16.24,408987
2.42,18482
19.75,524528
15.67,339593
4.78,45974
1.1,10000
16.49,400523
14.43,322263
14.85,308234
15.65,335712
2.41,35040
7.81,99455
3.2,44797
17.4,424810
12.84,222291
7.29,120152
2.21,53305
6.91,80355
7.18,88967
14.86,321518
13.11,259160
17.86,452170
9.97,189414
3.27,33376
14.55,293505
15.45,319573
11.66,196463
15.65,347470
10.38,197220
10.93,177974
9.12,141046
1.48,21100
3.05,51613
1.6,59958
13.09,245441
6.97,83434
10.66,193755
18.24,470240
5.74,96532
8.8,138623
15.36,330948
5.35,71538
2.46,45064
6.51,94353
4.06,52579
18.66,495686
16.35,394380
13.03,272202
17.56,438555
16.27,370814
4.54,53349
17.96,465009
11.25,182672
16.34,381832
18.03,444077
7.04,92545
3.09,53369
5.33,65294
9.12,138185
16.54,364334
17.35,430967
1.13,29050
10.7,211705
8.93,128422
5.22,64036
3.28,39824
7.41,123172
18.92,490204
7.14,98228
10.86,192711
14.36,301053
7.91,103138
19.46,521181
19.29,525684
5.78,54206
10.45,174100
6.72,75427
6.41,98292
1.7,10000
12.58,228030
10.55,180621
1.98,48124
6.29,77291
18.26,452299
5.55,94082
3.75,19564
10.3,135065
19.73,537921
5.6,59086
13.77,261662
15.47,351516
5.52,68945
14.84,307761
7.99,92333
13.01,263853
13.04,261304
11.18,191445
2.72,58337
16.87,382672
7.09,70258
4.54,40757
1.77,22533
12.23,228616
13.87,277042
1.32,25644
10.73,161205
5.3,83667
13.26,257852
4.31,64864
14.13,294975
8.35,126348
18.8,494573
3.61,46412
7.48,110487
3.16,54780
18.57,478148
17.67,444460
5.9,70191
13.54,290439
16.53,373951
11.55,230936
11.06,188934
5.6,45094
2.77,33044
18.05,440739
18.11,466357
13.03,241487
7.44,93363
7.63,75696
14.79,307803
18.05,414505
17.85,418424
15.82,366187
13.2,268827
2.6,35982
4.07,30560
18.07,451405
12.52,234416
1.17,10000
2.93,55158
13.61,284342
1.1,15868
4.06,45277
11.43,203353
14.15,259870
13.39,259823
5.26,51138
14.53,289698
5.51,60955
7.18,121829
15.18,339211
13.34,253433
17.14,418767
13.49,288253
11.8,225392
2.78,32117
7.99,101805
6.04,84332
5.64,73107
19.49,532847
8.47,131766
17.95,462210
12.99,241990
16.1,386121
10.55,177905
11.96,247715
10.36,159298
4.71,79430
14.73,315032
6.33,69219
1.46,13962
13.26,254474
4.37,55140
18.87,497248
19.12,493108
18.38,466087
8.03,144652
1.29,46156
18.64,484992
9.14,138558
19.37,515287
19.31,519869
17.21,397980
