Student_ID,Name,Age,Gender,Department,Grade,Attendance,Marks,City,Study_Hours
1362,Student_362,23.0,Female,Arts,Excellent,96.0,42.0,Boston,4.5
1074,Student_74,18.0,Female,Computer Science,Excellent,67.0,75.0,New York,5.6
1375,Student_375,28.0,Male,Computer Science,Excellent,89.0,57.0,Seattle,6.0
1156,Student_156,23.0,Male,Engineering,Excellent,71.0,76.0,Dallas,3.5
1105,Student_105,29.0,,Mathematics,Good,89.0,69.0,Boston,3.7
1395,Student_395,29.0,Male,Engineering,Good,99.0,37.0,Houston,6.1
1378,Student_378,28.0,Male,Business,Average,76.0,77.0,Houston,3.8
1125,Student_125,27.0,Female,Engineering,Good,99.0,50.0,New York,8.9
1069,Student_69,29.0,Female,Engineering,Excellent,60.0,69.0,Boston,2.7
1451,Student_451,28.0,Male,Business,Average,59.0,56.0,Houston,5.4
1010,Student_10,,Female,Computer Science,Average,77.0,52.0,Boston,5.6
1195,Student_195,23.0,Male,Business,Good,82.0,66.0,Dallas,6.0
1407,Student_407,18.0,Female,Computer Science,Poor,60.0,70.0,Boston,1.4
1085,Student_85,26.0,Female,Engineering,Average,82.0,42.0,Chicago,3.2
1372,Student_372,18.0,Male,Business,Poor,75.0,86.0,Dallas,3.1
1389,Student_389,22.0,Male,,Average,97.0,59.0,Dallas,4.7
1496,Student_496,28.0,Female,Arts,Poor,70.0,58.0,Boston,2.3
1031,Student_31,,Male,Engineering,Average,64.0,47.0,,0.3
1317,Student_317,19.0,Male,,Poor,78.0,44.0,New York,5.3
1409,Student_409,26.0,Female,Engineering,Good,83.0,88.0,Seattle,5.9
1491,Student_491,26.0,Male,Arts,Poor,85.0,39.0,Houston,3.6
1492,Student_492,19.0,Male,Mathematics,Good,60.0,38.0,Dallas,4.3
1281,Student_281,19.0,Female,Business,Good,78.0,94.0,Dallas,6.1
1357,Student_357,17.0,Female,Engineering,Poor,,81.0,New York,4.5
1077,Student_77,18.0,Female,Arts,Poor,95.0,80.0,Chicago,4.2
1462,Student_462,26.0,Male,Business,Poor,77.0,52.0,New York,2.6
1498,Student_498,23.0,Male,Engineering,Excellent,71.0,75.0,Boston,5.7
1212,Student_212,25.0,Male,Business,Poor,100.0,36.0,Seattle,5.4
1102,Student_102,28.0,Male,Computer Science,Poor,69.0,36.0,Seattle,5.3
1335,Student_335,25.0,Male,Computer Science,Excellent,99.0,50.0,New York,4.5
1476,Student_476,28.0,Male,Arts,Good,97.0,95.0,Seattle,1.3
1337,Student_337,25.0,Male,,Excellent,88.0,66.0,,4.2
1441,Student_441,23.0,Male,Engineering,Excellent,98.0,58.0,Chicago,3.8
1174,Student_174,29.0,Male,Business,Good,,59.0,Boston,4.9
1003,Student_3,29.0,Female,Business,Excellent,69.0,63.0,Boston,5.6
1334,Student_334,19.0,Female,Engineering,Excellent,74.0,66.0,Seattle,4.6
1410,Student_410,22.0,Male,Arts,Poor,87.0,46.0,Dallas,1.1
1071,Student_71,19.0,Female,Computer Science,Excellent,66.0,52.0,New York,2.4
1210,Student_210,24.0,Male,Engineering,Average,99.0,68.0,Chicago,1.7
1064,Student_64,20.0,Male,Engineering,Average,97.0,44.0,Dallas,7.1
1385,Student_385,28.0,Female,Business,Poor,68.0,57.0,Dallas,6.2
1094,Student_94,24.0,Female,Computer Science,Good,66.0,61.0,Chicago,5.1
1486,Student_486,24.0,Male,Business,Poor,92.0,,New York,2.4
1186,Student_186,21.0,Male,Engineering,Poor,81.0,40.0,New York,3.5
1034,Student_34,28.0,Female,Computer Science,Poor,76.0,43.0,Dallas,
1078,Student_78,22.0,Male,Mathematics,Good,96.0,53.0,Boston,4.0
1001,Student_1,23.0,Female,,Good,96.0,86.0,Boston,5.3
1012,Student_12,27.0,Male,Mathematics,Poor,70.0,83.0,Seattle,2.8
1416,Student_416,22.0,Male,Business,Excellent,83.0,90.0,Houston,2.7
1023,Student_23,24.0,Male,Mathematics,Poor,64.0,90.0,Seattle,
1073,Student_73,20.0,Female,Mathematics,Good,70.0,73.0,New York,3.4
1183,Student_183,26.0,Male,Computer Science,Average,68.0,86.0,Seattle,3.3
